eid,source,target,dir,capacity,speed_mph,cost_time,btw
8931,23587,22517,1,1900,30,0.085134094603,833.0
62523,23587,12390,1,1900,30,0.734826619837,22472.0
28500,23588,1896,1,1900,30,0.11833167924,300761.0
59653,23588,701,1,1900,30,0.37255525029200004,314788.5
15515,23589,14008,1,950,20,0.63036730832,52135.0
43577,23589,13512,1,1900,30,0.5179608075500001,86690.0
89807,23589,73,1,1900,30,0.148182710789,123653.0
21911,23590,24718,1,5400,40,0.0633889564767,3948221.5
72993,23591,186,1,1900,30,0.09709267969259999,17686.0
23530,23591,18091,1,1900,30,0.0974486904542,964826.5
55753,23591,23810,1,8100,40,0.119315822266,22182.0
20859,23592,11439,1,1900,30,0.33573150054799994,550918.5
75993,23593,5232,1,950,20,0.362029408486,52217.0
8107,23593,3781,1,950,20,0.152826723113,27077.0
47827,23594,12976,1,1900,30,0.0292271211753,428730.0
46913,23594,9385,1,1900,30,0.43843047082500003,18895.0
89955,23594,395,1,1900,30,0.149884010057,392134.0
33359,23595,22456,1,5400,40,0.351187692237,751082.5
75477,23595,12481,1,1900,30,1.01457837284,55637.0
26848,23595,7182,1,950,20,0.331199806996,39651.0
80015,23595,15590,1,5400,40,0.121166421931,686505.0
6007,23596,23624,1,1900,30,1.01229647021,63719.0
60345,23596,24072,1,1900,30,0.052954347375999994,125036.0
41144,23596,19807,1,5400,40,0.0154829137705,2395863.5
57247,23597,8684,1,1900,30,0.0976053232769,519624.5
560,23597,14437,1,1900,30,0.0953591884859,182743.0
1778,23597,1373,1,1900,30,0.0410187474645,392103.0
30390,23598,4312,1,1900,30,1.56702651724,523794.0
77687,23598,20353,1,1900,30,1.68724185962,429548.0
30378,23598,26346,1,950,20,2.06603305763,1140.0
1549,23599,19985,1,950,20,0.724849634428,256.0
57111,23599,21707,1,950,20,0.999679833327,104920.0
25743,23600,14774,1,6900,60,0.216105801653,31369359.5
58499,23602,25336,1,1900,30,0.46149031822700004,315314.5
28406,23602,1690,1,1900,30,0.0125546341204,422594.0
85267,23603,2597,1,1900,30,0.0789274177788,83779.0
40733,23603,24158,1,1900,30,2.0562660846400003,96220.5
27466,23604,12016,1,1900,30,0.29202215405799997,273619.0
7683,23604,19161,1,1900,30,0.258746209504,46151.0
61555,23604,21446,1,1900,30,0.619651112546,20548.0
31132,23605,22400,1,1900,30,0.447474318337,230680.5
38583,23606,15346,1,1900,30,0.0991749753762,946586.5
60949,23607,5757,1,1900,30,3.1230322366500003,203570.0
41910,23607,17279,1,1900,30,0.0936324127988,204648.5
51843,23608,5114,1,950,20,0.22575776405499998,155481.5
38258,23608,22124,1,1900,30,0.18232690274099997,4548030.0
51111,23609,24400,1,5400,40,0.256959392186,5841999.5
39318,23609,22761,1,5400,40,0.18564481682700001,5605089.0
39349,23610,11210,1,1900,30,0.110677691992,345584.0
38585,23610,11213,1,5400,40,0.0296349375783,3098893.0
52981,23611,23689,1,1900,30,0.122157883338,405278.0
49606,23611,8646,1,1900,30,0.046469691121300005,5236.0
83755,23612,21801,1,1900,30,0.245160305297,553913.0
84057,23612,14141,1,1900,30,0.35868329680100003,51187.5
39006,23612,22782,1,1900,30,0.295909729867,617086.0
28224,23613,1593,1,1900,30,0.09530378587310001,249413.0
81595,23613,17437,1,950,20,0.19679740198800003,188712.0
67119,23614,23336,1,1900,30,0.08820995989050001,348979.0
67005,23614,18310,1,1900,30,0.0819491243863,50458.5
15223,23614,14279,1,1900,30,0.416076389539,281967.0
64931,23615,20393,1,950,20,0.5965029107590001,17666.0
12566,23615,4211,1,5400,40,0.687959381621,692907.0
12586,23615,454,1,950,20,0.064468975203,167247.0
18846,23616,4175,1,6900,60,0.207419689494,2940870.0
59955,23617,20256,1,1900,30,0.7320272620939999,79881.0
5465,23617,6409,1,1900,30,1.95808560618,55748.0
81681,23617,25400,1,950,20,0.181897762473,28035.5
49333,23618,18219,1,1900,30,2.01096356945,779687.0
48546,23618,366,1,950,20,2.12083147972,8130.0
90953,23618,17622,1,1900,30,0.372935983995,814070.5
54945,23619,13353,1,1900,30,0.24630460568100002,133759.0
34183,23620,7150,1,1900,30,2.0521338955400004,302596.0
80795,23620,5634,1,1900,30,1.9021735567299998,282215.0
80677,23620,5590,1,1900,30,2.26980183416,241415.0
34342,23620,1302,1,1900,30,1.71826848417,350082.0
34222,23621,5705,1,5400,40,0.112101009712,2758651.0
80707,23621,10778,1,5400,40,0.132832595389,751699.5
33475,23622,21220,1,5400,40,0.284395942876,4324651.0
50808,23622,18077,1,5400,40,0.04851026665850001,4624754.0
3540,23623,22728,1,950,20,2.65659872393,15782.0
353,23623,18462,1,950,20,0.0651015733947,5932.0
56199,23623,54,1,950,20,2.20217010682,96706.0
57143,23623,6318,1,950,20,0.07292289267089999,6812.0
39202,23624,21529,1,1900,30,0.402952471136,68098.5
60343,23624,23596,1,1900,30,1.01229647021,146582.0
29903,23624,10894,1,1900,30,0.293839577528,4212947.0
12295,23625,1406,1,1900,30,0.121523770255,848565.5
12166,23625,22303,1,1900,30,0.06520430437199999,1121160.0
82851,23626,24489,1,950,20,0.9562579117129999,39569.0
34974,23626,18364,1,1900,30,0.460924813028,291086.0
81065,23626,20383,1,1900,30,0.436550076058,266202.0
82093,23627,10928,1,5400,40,0.0138773017131,4388269.0
39252,23627,14127,1,5400,40,0.427036567381,5733539.0
55204,23628,11424,1,1900,30,0.0936793142938,2328513.0
80623,23628,3050,1,1900,30,0.051314540265499996,2640313.5
34120,23628,21067,1,1900,30,0.0585345562598,440997.0
85445,23629,22229,1,5400,40,0.743713425061,4203474.0
90649,23629,9974,1,5400,40,0.017414503498099997,6130443.0
48332,23630,20944,1,950,20,0.09000813430150001,154369.0
48333,23630,8849,1,950,20,0.0841357972394,3.0
51261,23630,14083,1,950,20,0.038043184154,4172.0
12874,23631,10889,1,1900,30,0.0551129955064,217291.5
19495,23631,6490,1,5400,40,0.0351843717662,679852.0
69991,23632,192,1,1900,30,1.57594062863,96254.0
19410,23632,15778,1,1900,30,1.04980555875,119858.5
21378,23633,14821,1,1900,30,0.252668431197,1247774.0
58739,23633,7303,1,1900,30,1.15874344234,1323815.5
63623,23634,3370,1,950,20,2.3583300795599995,80097.0
10601,23634,3491,1,950,20,0.7568671370129999,51684.0
76321,23635,25336,1,950,20,0.45646310953100006,15154.5
27995,23635,4860,1,1900,30,1.25810368276,13138.0
76201,23635,13942,1,1900,30,0.484914887051,23716.0
33999,23636,16371,1,950,20,0.028724019394200002,547.0
36554,23636,23637,1,1900,30,0.09970757783220001,601879.5
36555,23637,24764,1,1900,30,0.0195341705359,694158.0
36831,23637,25940,1,1900,30,0.145066357064,595272.5
42196,23638,22426,1,950,20,0.18217224928300002,79658.0
46530,23638,12550,1,5400,40,0.111316779975,4195551.5
74401,23639,20377,1,950,20,0.060751054849500004,253262.0
74327,23639,9467,1,950,20,3.5427466571599995,230641.5
54421,23640,16499,1,8100,40,0.215792205352,1174776.5
2107,23640,9711,1,8100,40,0.248205025742,1042744.0
63489,23641,4336,1,1900,30,0.362221619317,25961.0
63381,23641,19953,1,1900,30,0.6711553699789999,278065.0
10148,23641,25549,1,1900,30,0.171802950456,249825.0
