eid,source,target,dir,capacity,speed_mph,cost_time,btw
28523,16037,15971,1,5400,40,0.532499182338,607891.0
29840,16037,6252,1,5400,40,0.0314395227303,760073.0
35409,16038,15416,1,5400,40,0.020442307487400002,507735.0
5218,16038,15409,1,5400,40,0.025019155869400005,6973.0
21041,16039,16025,1,5400,40,0.00721660490762,228397.0
8789,16039,8902,1,5400,40,0.592000888171,465629.0
15947,16040,16066,1,6900,60,0.224489271391,7591435.0
22739,16040,9629,1,8100,40,0.839208012294,1286681.0
18235,16041,15936,1,950,20,0.0860480625815,36308.0
42025,16041,12005,1,950,20,0.8894471812970001,162682.0
15708,16041,16055,1,950,20,0.07205810026739999,133705.0
4536,16042,241,1,1900,30,0.264130260367,3290114.0
21044,16043,12435,1,5400,40,0.005110241621329999,473612.0
48671,16044,17481,1,1900,30,0.0642829609879,2030.0
31591,16044,17476,1,1900,30,0.0385541249309,342494.0
33013,16045,1489,1,950,20,0.420889970955,69.0
544,16045,8087,1,950,20,5.13454191768,203.0
33187,16045,8268,1,950,20,6.298670658759999,189.0
38243,16045,16047,1,950,20,0.572382359413,18051.0
16248,16046,4049,1,5400,40,0.0165671522713,4647.0
48071,16046,13404,1,1900,30,4.07662922925,326501.0
40929,16046,3940,1,5400,40,0.021196140893900005,292624.0
1698,16047,6574,1,1900,30,0.294349610584,121539.0
33567,16047,14806,1,1900,30,2.38438430746,167835.0
11028,16047,16045,1,950,20,0.572382359413,18340.0
16644,16048,14070,1,5400,40,0.0980877448625,677495.0
4702,16049,8268,1,950,20,0.504195259458,17131.0
33553,16049,12749,1,950,20,1.3657184154,42464.0
1678,16049,8087,1,950,20,3.9744863806699997,80396.0
6092,16050,16298,1,950,20,0.09240661661969998,212973.0
13578,16051,16190,1,950,20,0.24956908625399998,28565.0
5669,16052,16058,1,5400,40,0.0536883229868,767407.0
12142,16052,16150,1,950,20,0.8152573906370001,39596.0
6539,16053,13752,1,5400,40,1.07387476094,972475.0
33843,16053,3812,1,5400,40,0.371492396712,813432.0
37581,16053,5135,1,5400,40,1.0845750549700002,280100.0
28772,16054,5793,1,6900,60,0.6207537181,17830086.0
28884,16055,15936,1,950,20,0.037102502391699994,3.0
40597,16055,16041,1,950,20,0.07205810026739999,53637.0
47373,16055,1797,1,950,20,0.04024207098,115560.0
20621,16056,15332,1,5400,40,0.326949786294,1685330.0
31347,16057,18343,1,5400,40,0.39342222135399996,8317175.0
12035,16058,16441,1,8100,40,0.310647921077,330123.0
5670,16058,11605,1,5400,40,0.238080727522,437010.0
31576,16059,12859,1,6900,60,0.0500276284827,15674476.0
18842,16060,16061,1,5400,40,0.14955978392000002,4882080.0
18845,16061,4168,1,5400,40,0.09924657264089999,4881806.0
38891,16062,10416,1,5400,40,0.060812885556899995,101799.0
7357,16062,10773,1,5400,40,1.00616749575,258635.0
40363,16063,11322,1,6900,60,0.333061731769,2105.0
22226,16063,17247,1,6900,60,0.0636957290686,6740152.0
31037,16064,8314,1,5400,40,0.5787968668069999,174157.0
7930,16065,11142,1,6900,60,0.182572685035,10029653.0
22747,16066,16065,1,6900,60,0.043012891865499996,7591161.0
17630,16067,16069,1,6900,60,0.0427018937137,7030126.0
17724,16068,2096,1,1900,30,0.131054366831,175281.0
26705,16068,2064,1,1900,30,0.016665229027200003,89425.0
22745,16069,9140,1,6900,60,0.15997541826300002,7029852.0
4978,16070,4225,1,6900,60,0.39362739269599994,9853283.0
29785,16071,8746,1,1900,30,0.008862135723830001,337345.0
28528,16071,8741,1,1900,30,0.0111799535095,212610.0
43931,16072,2720,1,1900,30,0.013773839272,1357503.0
21912,16072,2718,1,1900,30,0.0267033109616,562333.0
6329,16073,16074,1,5400,40,0.041032980273,313789.0
26283,16074,17177,1,5400,40,0.321688175608,313515.0
28604,16075,9321,1,5400,40,0.049070163035900005,711810.0
19504,16075,16586,1,5400,40,0.09681057916069999,2774385.0
47795,16076,14426,1,5400,40,1.5468830167200003,980360.0
3725,16076,6991,1,5400,40,0.136289068848,1042747.0
102,16077,336,1,5400,40,0.127687651566,1380632.0
32373,16077,16078,1,5400,40,0.0297928905058,40766.0
32374,16078,3856,1,5400,40,0.0222775758193,1393653.0
3779,16079,16090,1,5400,40,0.029165508684,479816.0
29868,16079,16093,1,1900,20,0.0466154158163,18163.0
10613,16080,16605,1,5400,40,0.0467146695109,7064786.0
15080,16081,3864,1,5400,40,0.116932519875,435312.0
32369,16081,16084,1,5400,40,0.03276631623909999,975990.0
