eid source target dir capacity speed_mph cost_time
29042 120 7356 1 950 20 3.34351290243
2445 121 5073 1 5400 40 0.181380425296
27936 122 10584 1 1900 30 1.14436172524
16992 122 2876 1 1900 30 0.0778761974749
5177 123 439 1 1900 20 0.0828518020826
23766 123 517 1 5400 40 0.132242734011
8951 123 10767 1 5400 40 0.0419363135684
7080 124 1973 1 6900 60 0.0809108401096
13908 125 9612 1 5400 40 0.0296150933204
9939 126 30 1 8100 40 0.625152801736
14653 127 1569 1 5400 40 0.0418654234276
1939 127 5733 1 1900 30 0.262365712561
17987 128 10426 1 1900 30 0.353949792624
18395 129 9173 1 5400 40 0.175411336252
28712 129 1838 1 5400 40 0.236851542197
23296 130 9883 1 1900 30 0.0462219260101
7973 130 629 1 1900 30 0.19378059102
28932 130 102 1 950 20 0.261046919138
6041 131 1120 1 1900 30 0.0154749130624
6042 131 1309 1 5400 40 0.0672016567746
7039 132 6317 1 6900 60 0.0278972192371
5882 133 4553 1 5400 40 0.22712790954
14012 134 6798 1 5400 40 0.12557060773
4254 135 8849 1 5400 40 0.00742034734661
21284 136 5476 1 5400 40 0.110195285366
3957 136 135 1 1900 30 0.0311819749324
1928 137 6369 1 1900 30 0.0653428471399
26178 137 5092 1 950 20 0.678671318533
2552 139 8361 1 6900 60 0.961018606109
15539 140 4529 1 1900 30 0.0339357838678
27164 140 3921 1 1900 30 0.237480420145
19816 141 7241 1 950 20 0.638154586218
186 141 142 1 950 20 0.0782556367537
19258 142 141 1 950 20 0.0782556367537
4315 142 1934 1 950 20 2.91959941365
12089 143 5672 1 5400 40 0.0295243782948
13968 143 6555 1 5400 40 0.347892682449
10585 145 4584 1 5400 40 0.0134885078333
16106 145 155 1 5400 40 0.474908887799
24616 145 4566 1 5400 40 0.0437524380546
3379 146 147 1 950 20 0.0199663561186
9276 146 9655 1 950 20 0.857344082263
3376 147 148 1 950 20 0.0199748129365
3377 148 149 1 950 20 0.035843693236
3355 148 2519 1 950 20 0.0512120829486
3378 149 146 1 950 20 0.0686636143968
27842 150 104 1 1900 30 0.516666130768
7374 150 5628 1 1900 30 0.0791130539307
10012 152 5559 1 5400 40 0.0205430200192
15418 152 9943 1 5400 40 0.0511702128457
12111 153 157 1 5400 40 0.513784190647
16663 153 158 1 1900 30 0.02283201701
9961 154 72 1 8100 40 0.0793841811296
9862 155 4566 1 5400 40 0.466936482002
24236 155 167 1 5400 40 0.560458895609
12110 156 153 1 5400 40 0.162640001717
12923 157 1192 1 1900 30 0.0727377653683
12112 157 1214 1 5400 40 0.0537342978142
274 158 3074 1 1900 30 0.169237735971
27166 160 3904 1 1900 30 0.034065018579
15541 160 3909 1 1900 30 0.236232776563
10165 162 10899 1 950 20 0.635236259001
12119 163 1260 1 5400 40 0.146473696084
11249 163 10207 1 8100 40 0.240027407202
13382 165 5627 1 8100 40 0.582623393897
12116 166 1192 1 5400 40 0.0600889639605
5818 166 1214 1 1900 30 0.0554517457015
24238 167 170 1 5400 40 0.137203488027
9864 167 155 1 5400 40 0.560458895609
9910 168 10877 1 950 20 4.41599626027
24296 168 278 1 950 20 0.127350482523
24698 170 6488 1 5400 40 0.966072571819
9866 170 167 1 5400 40 0.137203488027
26418 172 9082 1 1900 30 1.37907462073
25338 172 1620 1 1900 30 0.877142806496
14189 172 2222 1 1900 30 1.27775696714
20996 173 5389 1 950 20 1.75779698596
10877 173 7295 1 950 20 0.450267591857
1944 174 2336 1 1900 30 1.02686504597
24928 174 897 1 1900 30 0.0663836590275
19962 175 5636 1 1900 30 0.0689964298212
12636 175 4614 1 5400 40 0.17477051385
27502 176 1539 1 5400 40 0.202643680689
16165 176 445 1 5400 40 0.20339940874
7990 176 247 1 950 20 1.0302893543
20888 177 1784 1 1900 30 0.0264484432589
3821 177 5922 1 1900 30 0.0106133904015
3580 177 5668 1 1900 30 0.0746503023263
117 179 180 1 1900 20 0.043314339745
13843 179 181 1 1900 30 0.0330342977851
11185 180 9758 1 1900 30 0.0349213236417
13844 181 6433 1 1900 30 0.42392173045
11184 182 180 1 1900 30 0.0334614917222
116 182 181 1 1900 20 0.0290335171293
15668 183 1425 1 5400 40 0.0334426740767
7960 183 2342 1 950 20 0.0560269383964
22954 184 2056 1 950 20 0.412679537866
15066 184 9411 1 950 20 0.129846492008
2732 185 9290 1 5400 40 0.0319017019267
2760 185 9293 1 5400 40 0.0454021061727
7992 186 1539 1 950 20 0.116757702416
22658 187 6968 1 950 20 0.346605632508
921 187 5054 1 950 20 0.21188957322
2731 188 185 1 5400 40 0.031800283569
28190 189 1257 1 5400 40 0.410194412008
118 189 6645 1 5400 40 0.102848976794
9247 190 3657 1 1900 30 0.031578079451
23932 190 195 1 1900 30 0.449373945041
10509 191 5738 1 1900 30 0.0150330476845
7487 191 5639 1 1900 20 0.0735880121307
2735 192 188 1 5400 40 0.0318249997869
9943 193 1758 1 8100 40 0.0453184424852
16593 194 7082 1 950 20 1.20487971382
22218 194 197 1 950 20 0.299612814323
13991 195 2787 1 1900 30 0.0517152332283
9249 195 190 1 1900 30 0.449373945041
23070 196 5951 1 1900 30 0.17982919981
5873 197 194 1 950 20 0.299612814323
24916 197 198 1 950 20 0.117659203251
24918 198 9019 1 950 20 0.680082915921
11170 198 197 1 950 20 0.117659203251
2967 199 207 1 6900 60 0.919205074199
9141 200 1814 1 950 20 0.102835467414
18734 201 9786 1 1900 30 0.0425697559086
26450 201 212 1 1900 30 0.043047540313
15444 202 4472 1 1900 30 0.199780357293
21148 202 7906 1 1900 20 0.0170192269707
26328 203 2786 1 1900 30 0.0501376439231
26448 203 9786 1 1900 30 0.037560156635
13997 203 5942 1 1900 30 0.741191732832
7996 204 222 1 950 20 0.955978766845
16463 205 234 1 950 20 0.00792423436571
16642 205 10803 1 950 20 0.0576250467863
27660 205 261 1 950 20 0.147226233454
20738 206 10915 1 5400 40 0.107305507351
10314 206 415 1 5400 40 0.305895037592
2968 207 2971 1 6900 60 0.014478104829
11587 207 7159 1 8100 40 0.0217188077248
9941 208 12 1 8100 40 0.119041417964
25570 209 4353 1 1900 30 0.00881277685446
13882 209 2886 1 1900 30 0.0299612040224
9936 210 7951 1 8100 40 0.682582462613
26090 211 312 1 5400 40 0.0278878990514
12907 211 8899 1 5400 40 0.102520700279
14245 212 201 1 1900 30 0.043047540313
14241 212 1450 1 1900 30 0.0423801273955
26452 212 3209 1 1900 30 0.0200316074682
6235 213 7207 1 1900 30 0.0548099385363
267 214 218 1 950 20 0.247270297501
19574 214 215 1 950 20 0.0537347873246
19244 215 7091 1 950 20 1.81832427979
817 215 214 1 950 20 0.0537347873246
7040 216 4596 1 8100 40 0.13080552401
18725 217 1542 1 1900 30 0.0327279145964
28902 217 1559 1 1900 30 0.0697558577955
42 218 7089 1 5400 40 0.743963571388
19282 218 214 1 950 20 0.247270297501
19204 218 233 1 5400 40 0.511613120955
21352 219 3058 1 5400 40 0.113941845108
26668 219 10482 1 5400 40 0.609758512917
19144 220 243 1 950 20 0.135198765628
19940 221 224 1 1900 30 0.068805576194
14262 221 2050 1 1900 30 0.0866348039225
18729 221 1559 1 1900 30 0.0355763519096
16169 222 1539 1 5400 40 0.046228561879
27506 222 7243 1 5400 40 0.336042286002
23308 222 204 1 950 20 0.955978766845
11670 223 5641 1 5400 40 0.0726214467868
25148 223 5669 1 5400 40 1.19589841842
1666 224 221 1 1900 30 0.068805576194
26462 224 1542 1 1900 30 0.0239924076459
6833 225 7975 1 950 20 1.21495563896
2026 226 229 1 6900 60 0.473370139158
7531 226 9773 1 8100 40 0.256928098553
20356 227 7931 1 5400 40 0.0110564509699
2377 227 228 1 5400 40 0.0327534561305
3389 228 9954 1 5400 40 0.036557110424
2375 228 7923 1 5400 40 0.0214604891368
20354 228 227 1 5400 40 0.0327534561305
2027 229 10120 1 6900 60 0.286209190719
16682 230 2069 1 6900 60 0.666107537053
9946 231 154 1 8100 40 0.170404158267
5974 231 54 1 8100 40 0.39051853044
4937 232 8641 1 1900 30 0.099376433831
21666 232 5942 1 1900 30 0.0430369736204
44 233 218 1 5400 40 0.511613120955
19206 233 9715 1 5400 40 0.0193293503905
27658 234 205 1 950 20 0.00792423436571
16467 234 261 1 950 20 0.0124462363563
132 235 233 1 1900 30 0.026447629884
130 235 9715 1 1900 30 0.019207115655
4379 236 1629 1 950 20 0.215127085894
27024 236 1390 1 950 20 0.281000237546
134 237 9717 1 1900 30 0.0290635325667
19210 238 7097 1 5400 40 0.225436288039
48 238 9715 1 5400 40 0.0187290555607
133 238 237 1 1900 30 0.0211967776461
19143 239 220 1 950 20 0.055506132946
907 239 3758 1 950 20 0.953762908994
7848 240 7964 1 5400 40 0.831183650878
2828 241 3724 1 1900 30 0.177999975805
7604 242 6320 1 5400 40 0.0229107931104
14764 242 9251 1 950 20 0.0475026931167
12463 243 270 1 950 20 0.342475439903
19142 243 239 1 950 20 0.0268913689297
14265 244 10721 1 5400 40 0.0426980819578
26468 244 10723 1 5400 40 0.0461403277085
23926 244 3663 1 1900 30 0.424194805613
11145 245 107 1 8100 40 0.748454015221
11150 245 3316 1 8100 40 0.422503840263
25546 246 257 1 950 20 0.348130451751
3518 246 5727 1 950 20 1.28657543248
23302 247 176 1 950 20 1.0302893543
1603 248 2347 1 6900 60 3.27254493194
19844 249 1136 1 1900 30 0.183863169548
7316 249 5731 1 1900 30 0.301996782191
7850 250 255 1 5400 40 0.040961145447
23240 250 5415 1 5400 40 0.820454467264
7874 251 4315 1 5400 40 0.314777448284
12188 251 7875 1 5400 40 0.0229651221546
283 252 256 1 1900 30 0.039250348937
23248 253 5945 1 5400 40 0.611699886295
7873 253 251 1 5400 40 0.0384542578884
10943 254 409 1 1900 30 0.0878150477561
10090 254 9588 1 1900 30 0.0995555932335
23234 255 250 1 5400 40 0.040961145447
4089 255 10886 1 5400 40 0.128342446666
284 256 5604 1 1900 30 0.0322401518843
19260 256 7149 1 1900 30 0.0121777708072
12572 257 246 1 950 20 0.348130451751
8393 258 5074 1 6900 60 0.352490448716
22134 259 9851 1 5400 40 0.143230662131
5765 259 5804 1 5400 40 0.347828744396
11144 260 245 1 8100 40 0.217937405883
24912 260 5654 1 8100 40 0.461742462284
27662 261 234 1 950 20 0.0124462363563
27782 261 10803 1 950 20 0.0599732050558
16465 261 205 1 950 20 0.147226233454
9952 262 4381 1 950 20 0.734722259274
23520 263 264 1 5400 40 0.0512896056392
9191 263 2806 1 5400 40 0.445751327631
8398 264 263 1 5400 40 0.0512896056392
23522 264 2591 1 5400 40 0.193808618017
14563 265 266 1 1900 30 0.0423283932959
14080 266 9445 1 1900 30 0.164667944054
12657 267 10081 1 950 20 0.0976036116275
25582 267 1126 1 950 20 1.04304037287
1536 269 2447 1 6900 60 0.0239473010793
25500 270 243 1 950 20 0.342475439903
17296 271 8673 1 6900 60 0.110103435603
25618 272 2130 1 5400 40 0.41045470707
21468 272 6012 1 5400 40 0.093849403244
12185 272 630 1 5400 40 1.62611039994
9736 273 1079 1 1900 30 0.0640976134795
14025 274 7008 1 1900 30 0.0279423244926
26344 274 32 1 1900 30 0.00864954783627
14028 274 8694 1 5400 40 0.375615199484
28556 275 4417 1 5400 40 0.922205307656
5361 275 5686 1 5400 40 0.0283171797504
9690 276 325 1 5400 40 0.0113669930507
5101 277 320 1 5400 40 0.231641524308
20196 277 6319 1 5400 40 0.390776820207
9970 278 168 1 950 20 0.127350482523
24280 278 10906 1 950 20 0.247342634152
16826 279 280 1 950 20 0.0728434052162
27898 279 7884 1 950 20 0.887644001169
23154 280 7886 1 950 20 0.0452831393914
27900 280 279 1 950 20 0.0728434052162
5707 281 288 1 5400 40 0.204888666656
13841 281 420 1 5400 40 0.0314435002763
9980 282 4679 1 8100 40 0.177567369604
754 283 8911 1 1900 30 0.516162845516
22310 284 2782 1 950 20 0.211254684018
6479 284 9927 1 950 20 0.312130275113
26698 285 1573 1 950 20 0.176040259555
14756 285 1229 1 950 20 0.742590526303
18622 286 6916 1 1900 30 0.0738269059928
18610 286 638 1 1900 30 0.0296289235045
15088 287 47 1 6900 60 0.198098681959
22088 288 281 1 5400 40 0.204888666656
5705 288 8418 1 5400 40 0.265510733633
26262 288 8612 1 1900 30 0.883525177123
9696 289 7449 1 8100 40 0.306944210133
9721 289 5334 1 6900 60 0.214678379308
7598 290 106 1 6900 60 0.0925967885375
16547 290 9508 1 8100 40 0.17662151446
15322 291 7989 1 1900 20 0.123323768152
472 292 9561 1 6900 60 0.617657768959
18609 293 286 1 1900 30 0.015046513023
16704 294 9864 1 950 20 0.967563255831
13075 295 48 1 6900 60 0.0314795487384
13406 296 305 1 5400 40 0.0179341738669
9704 296 7023 1 5400 40 0.0370158662192
18614 297 360 1 1900 30 0.00924399701902
15111 298 345 1 5400 40 0.0285719133802
2730 298 510 1 5400 40 0.0554110702376
1573 299 54 1 8100 40 0.548208677613
16346 299 4679 1 8100 40 0.370340542304
24150 300 7837 1 5400 40 0.666320206548
13538 300 599 1 5400 40 0.0399727297261
9399 301 1578 1 950 20 0.795419149741
28662 301 1572 1 950 20 0.604704323283
24010 301 9991 1 950 20 1.53466149041
7088 302 7072 1 5400 40 0.00624778386802
22918 302 7063 1 5400 40 0.0156922387942
7093 303 7964 1 5400 40 0.0349397131759
7846 303 309 1 5400 40 0.0431555152263
5900 304 10786 1 5400 40 0.0279711076659
22228 304 4723 1 5400 40 0.0477682060775
13407 305 557 1 5400 40 0.0160729590302
22232 306 307 1 5400 40 0.0243042790833
5904 306 4723 1 5400 40 0.0287615427218
22224 307 10786 1 5400 40 0.023706898698
5906 307 306 1 5400 40 0.0243042790833
17271 308 7879 1 950 20 0.674671398768
7841 309 7072 1 5400 40 0.0191414505421
3157 310 5148 1 5400 40 0.0305639054471
7681 310 5149 1 5400 40 0.131863828522
3155 311 46 1 5400 40 0.0164701929236
1997 312 10665 1 5400 40 0.870065222268
13572 312 211 1 5400 40 0.0278878990514
13649 313 376 1 5400 40 0.0285688881681
9652 313 7085 1 5400 40 0.0207403543316
26194 314 2913 1 950 20 0.915122412472
9529 315 466 1 5400 40 0.0326275023939
9685 315 637 1 5400 40 0.0179722027669
9960 316 2251 1 6900 60 0.0726322438854
18000 317 2553 1 5400 40 0.593020712639
18919 317 343 1 5400 40 0.0346863440473
6489 318 5629 1 5400 40 0.519448925943
6487 318 8175 1 5400 40 0.0323944733376
18002 319 2280 1 5400 40 0.110825563353
18924 319 2114 1 5400 40 0.028010606714
21770 320 277 1 5400 40 0.231641524308
2125 320 6318 1 5400 40 0.515387193188
12905 321 456 1 1900 30 0.0877222034936
15506 321 10113 1 1900 30 0.147430643878
15816 322 2008 1 5400 40 0.0411181577919
29002 323 4827 1 5400 40 0.00586874608793
17570 323 9085 1 5400 40 0.00548858364245
23710 324 10784 1 5400 40 0.0270877789049
6227 324 10753 1 5400 40 0.0246109734093
20834 324 1682 1 5400 40 0.0238158656634
9686 325 5821 1 5400 40 0.0265126360452
27306 326 653 1 950 20 0.933465633234
6486 326 318 1 5400 40 0.0315908411278
6501 326 8175 1 5400 40 0.0197432284055
21980 327 328 1 5400 40 0.153143320425
5492 327 4981 1 5400 40 0.0304637995605
5488 328 327 1 5400 40 0.153143320425
21982 328 8685 1 5400 40 0.658847438328
5639 328 9703 1 1900 30 0.506870025022
19240 329 3908 1 950 20 2.97138424327
144 329 71 1 950 20 1.07156171607
13438 330 315 1 5400 40 0.0703842111468
96 331 3520 1 8100 40 0.0856843027613
26196 332 4657 1 950 20 0.782920624953
6725 333 10452 1 6900 60 0.0182742450037
17560 334 333 1 8100 40 0.331543612443
5049 334 8126 1 8100 40 0.338484632218
14542 335 10328 1 1900 30 2.29812414598
6436 335 9690 1 1900 30 0.201669417315
14558 336 6986 1 5400 40 0.00807997154954
16963 336 8276 1 950 20 0.0580432330427
14557 337 336 1 5400 40 0.0117742560977
3423 338 75 1 5400 40 0.0132511583669
3417 338 77 1 5400 40 0.0101782259321
20786 338 4157 1 5400 40 0.00897396397384
14993 339 2692 1 1900 30 0.429545759497
12288 339 4861 1 1900 30 0.0366216684898
19484 340 7485 1 1900 30 2.41704044061
18216 341 300 1 5400 40 0.0427069831462
13531 341 599 1 5400 40 0.0392876053735
18006 342 2114 1 5400 40 0.0117386241397
593 342 319 1 5400 40 0.0277439681136
18005 343 342 1 5400 40 0.0294303466578
20176 344 7163 1 950 20 0.836628282273
12207 344 4157 1 950 20 0.0661036624251
13650 345 1862 1 5400 40 0.00947279197495
4176 346 9323 1 5400 40 0.466067842305
15977 346 479 1 5400 40 1.1397437274
9598 347 1889 1 5400 40 0.00950579083735
5930 348 349 1 5400 40 0.0269209041909
5931 349 3027 1 5400 40 0.0410744027694
5916 349 2630 1 5400 40 0.0756619762831
18613 350 297 1 1900 30 0.050384925444
18605 350 7262 1 1900 30 0.0783672173293
2844 351 5186 1 5400 40 0.0315556239272
20078 351 3239 1 5400 40 0.744493207159
5928 352 2425 1 5400 40 0.010876428259
20218 353 9756 1 5400 40 1.17820729047
15590 353 6684 1 5400 40 1.20616718546
406 354 1952 1 950 20 0.154562965237
19358 354 2315 1 950 20 0.0471681330315
25698 355 6597 1 5400 40 0.771221480469
8455 355 6910 1 5400 40 0.0334281529846
13119 356 9316 1 950 20 0.0600123791872
15186 357 4171 1 6900 60 0.11898180247
13895 358 2401 1 950 20 0.197720518159
13889 358 3194 1 950 20 0.00424641944336
7173 359 5367 1 1900 30 0.0464935087166
18628 360 6916 1 1900 30 0.0885738493591
18615 360 293 1 1900 30 0.0340546438919
10760 361 10282 1 8100 40 0.841537941639
10734 361 2190 1 5400 40 0.0446070398006
7383 362 8270 1 950 20 0.247696710478
24446 362 2903 1 950 20 0.175775543643
1003 363 10346 1 8100 40 0.0792253849058
10322 364 363 1 8100 40 0.224733858597
17295 364 271 1 6900 60 0.090099886599
11791 365 7761 1 5400 40 0.171270612363
12560 365 6764 1 1900 30 0.116785218355
1974 366 10442 1 1900 30 0.234332579294
4310 366 10026 1 1900 30 0.0974204429033
28628 367 9292 1 950 20 0.496110047161
10327 367 2903 1 950 20 0.13220324475
8882 368 4992 1 950 20 0.0514716423651
23792 368 8442 1 950 20 0.0850868033141
23720 368 3308 1 950 20 0.175309239178
16339 369 383 1 950 20 0.0337717781456
10302 369 357 1 8100 40 0.239662615147
27596 369 4693 1 950 20 0.426988717509
13437 370 330 1 5400 40 0.0164439419269
9644 370 639 1 5400 40 0.0244040599059
13118 371 4191 1 950 20 0.114969016269
19176 372 1482 1 5400 40 0.105240511486
5946 372 7620 1 5400 40 0.554621592252
11690 373 758 1 950 20 0.992459787957
16971 373 766 1 950 20 0.052871655575
16973 374 776 1 950 20 0.0403762842791
28232 374 2678 1 950 20 0.247162147022
13634 375 4257 1 6900 60 0.159974657172
15108 376 5226 1 5400 40 0.00945994770257
4189 377 8762 1 1900 30 4.59398814031
21238 377 379 1 1900 30 0.257273537401
20278 377 2758 1 1900 30 0.782483194873
11083 378 7622 1 1900 30 0.102766983408
1327 378 5855 1 1900 30 0.00694153720384
4191 379 377 1 1900 30 0.257273537401
21240 379 380 1 1900 30 0.209776107691
21242 379 391 1 1900 30 0.84200352797
4193 380 379 1 1900 30 0.209776107691
21798 380 391 1 1900 30 3.71024843215
5683 381 2684 1 8100 40 0.0670713612368
