eid source target dir capacity speed_mph cost_time
20984 1 7361 1 950 20 0.579893983891
3780 1 27 1 950 20 0.0448089652913
9968 2 2249 1 8100 40 0.439615544451
7447 3 9732 1 5400 40 0.082405165602
22016 3 8221 1 1900 30 0.674298912167
22264 3 2031 1 1900 30 0.0102699939856
12400 4 9282 1 8100 40 0.0342707087105
16071 4 3287 1 8100 40 0.0238006478244
9161 5 3212 1 950 20 0.215656318195
860 6 8 1 950 20 0.0173634082662
862 7 515 1 950 20 0.0421220780675
16902 8 9666 1 950 20 0.0707606073874
861 8 7 1 950 20 0.0435933144512
26848 9 10864 1 5400 40 0.110483863056
14975 9 10543 1 5400 40 0.0669137991851
16914 10 7282 1 950 20 0.0674808439204
864 10 14 1 950 20 0.0387442754425
18855 11 9 1 5400 40 0.252958127959
7180 11 5946 1 1900 30 0.0126025627752
22970 11 23 1 1900 30 1.90294587899
9955 12 6284 1 6900 60 0.131694912943
2642 13 7801 1 8100 40 1.07932978928
214 13 2223 1 6900 60 0.270164497108
865 14 6 1 950 20 0.0154680364169
17268 15 16 1 5400 40 0.0301874034963
3900 16 2082 1 5400 40 0.00935406209707
19968 17 2161 1 950 20 0.411074510991
7211 17 2154 1 950 20 0.137607488276
11616 18 5578 1 5400 40 0.0891134389481
12900 18 69 1 5400 40 0.0107450508478
25708 18 10759 1 5400 40 0.0176937851755
19922 19 1248 1 950 20 0.833572173393
3896 19 4475 1 950 20 0.0497127057117
5532 20 1218 1 1900 30 0.0588358687132
13936 20 1206 1 1900 30 0.0930884238055
5553 21 10460 1 5400 40 0.177214738402
21998 21 1180 1 5400 40 0.159075408614
13944 21 1223 1 1900 30 0.0141707164515
9803 22 7377 1 5400 40 0.863695670878
21886 22 69 1 5400 40 0.0148081480596
5270 22 10759 1 5400 40 0.0191540646899
7182 23 11 1 1900 30 1.90294587899
8844 23 10695 1 1900 30 0.0587749902366
1388 25 10688 1 5400 40 0.034774165015
19826 25 26 1 5400 40 0.096946591954
805 26 10841 1 5400 40 0.0556513275719
1400 26 25 1 5400 40 0.096946591954
3778 27 10922 1 950 20 0.0573511431983
18988 28 3506 1 8100 40 0.743360636076
1401 29 5472 1 5400 40 0.0271508486665
24678 29 795 1 5400 40 0.169365239746
1572 30 299 1 8100 40 0.125159861036
14021 31 32 1 1900 30 0.0227965917085
26340 31 7008 1 1900 30 0.0702545937953
14027 32 274 1 1900 30 0.00864954783627
26338 32 31 1 1900 30 0.0227965917085
21786 33 9729 1 950 20 0.08803795656
2671 33 2948 1 950 20 0.0456742454388
16669 34 451 1 5400 40 0.0890888298125
2118 34 2629 1 5400 40 0.0421237772912
5907 35 450 1 1900 30 0.29648953334
13056 35 8606 1 5400 40 0.793197395233
23586 36 9064 1 950 20 0.078890645805
6668 36 8993 1 950 20 0.769839094194
8525 36 1251 1 950 20 0.0886271335339
6328 37 7638 1 6900 60 0.310102548643
18861 37 3111 1 8100 40 0.346124718403
24290 38 83 1 950 20 0.220332398413
9959 38 76 1 950 20 0.191902921615
5414 39 7586 1 5400 40 0.0580805263378
5419 40 601 1 5400 40 0.163013780359
5418 41 5150 1 5400 40 0.0933573643548
5408 43 55 1 5400 40 0.142018227291
10427 44 1879 1 5400 40 0.0248788548603
24520 44 543 1 5400 40 0.00825333570797
15096 45 2476 1 6900 60 0.0306990433163
3156 46 310 1 5400 40 0.121636421682
15093 47 3200 1 6900 60 0.0305081589521
15090 48 2480 1 6900 60 0.418832969972
5413 49 43 1 5400 40 0.0573944379389
1795 50 52 1 5400 40 0.0379109435492
20010 50 102 1 5400 40 0.148763030526
5719 51 1714 1 5400 40 0.0477919948724
19028 51 2116 1 5400 40 0.0595692187554
5184 52 3937 1 950 20 0.0285339801953
7953 52 7025 1 5400 40 0.0105388464404
8286 53 8879 1 950 20 4.30400798745
26134 53 1215 1 5400 40 2.50774501075
5975 54 3249 1 8100 40 0.215109607032
5421 55 3783 1 5400 40 0.0289673335753
11825 56 3888 1 6900 60 0.0433675442706
3643 57 963 1 6900 60 0.648898930363
12661 58 9811 1 950 20 0.0790471137403
3525 58 6062 1 950 20 1.42307395891
20854 58 4623 1 950 20 0.0381154555846
4516 59 595 1 5400 40 0.266630463696
8687 59 4155 1 950 20 0.222585189273
18838 60 1341 1 6900 60 0.0693510927698
10624 61 5095 1 950 20 0.0891614498134
272 63 2951 1 8100 40 0.131761701933
2757 63 1863 1 8100 40 0.409767561107
14852 64 5480 1 950 20 0.313316307062
26770 64 4357 1 950 20 0.0621410348373
26824 64 4038 1 950 20 0.114134387525
11064 65 6444 1 1900 30 0.36146965723
13442 65 308 1 1900 30 0.276613271363
3825 67 10683 1 950 20 1.76113484681
9148 68 1849 1 950 20 0.0750361850729
5577 69 7913 1 5400 40 0.53496035866
25706 69 18 1 5400 40 0.0107450508478
5272 69 22 1 5400 40 0.0148081480596
26608 70 3130 1 1900 30 0.0633767337355
19238 71 329 1 950 20 1.07156171607
20838 71 9603 1 950 20 1.72740474384
142 71 5727 1 950 20 2.3170895786
9962 72 269 1 8100 40 0.420943474244
5444 73 2537 1 1900 30 0.0319181110159
11960 73 6313 1 1900 30 1.29961173997
24240 74 7145 1 1900 30 8.80980830651
3420 75 344 1 950 20 0.0770534973922
20788 75 338 1 5400 40 0.0132511583669
9973 76 10450 1 950 20 0.0843686626882
24292 76 38 1 950 20 0.191902921615
20784 77 338 1 5400 40 0.0101782259321
18713 77 9287 1 5400 40 0.133227463299
6210 79 2019 1 950 20 0.0891638254912
4654 79 5566 1 950 20 2.57830660457
18401 80 82 1 8100 40 0.0857345373406
10602 80 5868 1 950 20 0.0407586294767
9940 81 282 1 8100 40 0.0778666351194
18403 82 88 1 8100 40 0.229561493983
18402 82 87 1 8100 40 0.534448237437
27554 83 1173 1 950 20 0.52485418077
9957 83 38 1 950 20 0.220332398413
16820 84 728 1 950 20 0.0469280073585
27896 84 10546 1 950 20 0.202181749548
7276 85 946 1 8100 40 0.259928454914
3430 86 89 1 5400 40 0.0717305772167
20496 86 3654 1 5400 40 0.550386934527
17299 87 10490 1 6900 60 0.01394856559
15184 88 404 1 6900 60 0.689669751987
20794 89 86 1 5400 40 0.0717305772167
12999 89 4366 1 5400 40 0.553070700901
23578 90 1633 1 1900 30 0.099499759705
8559 90 6590 1 1900 30 0.152825153748
27816 92 8917 1 950 20 0.315925627712
27818 92 5215 1 950 20 0.144013068152
18574 93 9198 1 6900 60 0.0123426673785
23062 94 5489 1 5400 40 0.0095350212775
7476 94 5531 1 5400 40 0.0412945943995
18203 94 9009 1 5400 40 0.241867132324
15163 95 96 1 8100 40 0.0853535339489
10599 96 8256 1 950 20 0.112600312037
18407 97 3012 1 6900 60 0.191338875172
9738 98 5689 1 5400 40 0.0839610963238
24946 98 6238 1 5400 40 0.117003944185
11325 99 1200 1 1900 30 1.98742852969
28906 99 6987 1 1900 30 2.39199659472
24992 99 8959 1 1900 30 1.34641866778
15955 100 3898 1 1900 30 0.159948219703
11624 101 9297 1 950 20 0.575313775945
1793 102 50 1 5400 40 0.148763030526
24740 102 7594 1 5400 40 1.05643027864
18777 102 130 1 950 20 0.261046919138
279 103 1508 1 5400 40 0.0130109820051
5335 104 1845 1 1900 30 0.406933619031
16731 104 150 1 1900 30 0.516666130768
10515 105 8096 1 1900 30 0.0578734995755
29036 105 3354 1 1900 30 0.0314107608246
7599 106 6800 1 6900 60 0.081799978568
11323 106 1966 1 8100 40 0.424237238657
6367 107 5500 1 6900 60 0.0348494424912
12895 108 2742 1 5400 40 0.0721051657513
12191 108 8815 1 5400 40 0.0229613612354
1396 109 10716 1 950 20 0.0883827287582
26502 109 6261 1 950 20 1.34767518855
28844 110 9480 1 5400 40 0.00951748358494
18658 110 8929 1 5400 40 0.0118719320087
27076 110 2844 1 5400 40 0.787566401249
3917 111 6835 1 1900 30 0.100619430543
11890 112 10672 1 1900 30 0.225865554925
11887 113 8770 1 1900 30 0.0699935801195
19554 114 9944 1 1900 30 1.40574556864
2779 114 116 1 1900 30 0.105048617619
13477 115 6924 1 1900 30 0.144673652557
26050 115 5132 1 1900 30 1.06248789879
8211 116 3920 1 1900 30 0.0109288655066
20492 116 114 1 1900 30 0.105048617619
26578 117 506 1 950 20 0.681760854598
14445 117 118 1 950 20 0.0619151379882
16027 118 5027 1 950 20 4.42857679579
26576 118 117 1 950 20 0.0619151379882
14631 119 1892 1 5400 40 0.0343880500806
26640 119 4421 1 5400 40 1.12279339257
14629 119 3590 1 950 20 0.0921801338689
1420 120 1210 1 950 20 1.66221502118
