eid,source,target,EdgeBetweennessCentrality
32052,1,13633,71108.
14173,1,10990,1.726774e6
16983,2,17495,1.3170084e7
35175,3,10,353.
4751,3,3844,356122.
41831,4,3307,212358.
46287,4,9852,271173.
29258,4,11366,85024.
42507,5,16731,43461.
19069,5,675,55764.
8073,6,11330,223363.
43589,6,8990,2093.
46027,7,11401,35776.
26101,7,8547,18163.
30354,7,140,0.
13859,8,3545,56849.
13867,8,362,4.185546e6
35147,9,18401,638.
4730,9,18397,204782.
6863,9,3745,411259.
35157,10,18352,14567.
4772,10,3,312552.
47181,10,14015,276499.
35167,11,18368,107274.
4750,11,4050,88944.
35159,11,18387,12.
19041,12,2204,93968.
19047,12,7789,75394.
42497,12,9078,125607.
47831,13,2066,8648.
32518,13,17766,17015.
18919,14,12431,1.9039094e7
28113,15,6966,609.
34325,15,6965,20528.
28288,15,6958,67330.
18847,16,3554,107274.
9429,16,3669,195.
28390,17,12546,82024.
7647,17,8732,32703.
22841,18,10571,758692.
19140,18,5886,214490.
27998,19,13608,1.809657e6
34841,19,6779,17700.
4169,19,84,1710.
13088,20,14047,5.129903e6
10136,21,18409,2627.
10131,21,5757,22067.
13090,22,24,564441.
13097,22,32,4.964894e6
13091,24,10162,980564.
4760,25,37,17889.
40939,26,27,422344.
30957,26,2501,340118.
35423,27,16633,439280.
16262,27,26,357329.
25303,28,3644,17854.
45675,28,30,18159.
6690,29,12336,2.0588093e7
45677,30,3640,17848.
23773,30,1233,74.
25297,30,28,37.
9149,31,9289,303693.
17818,31,8930,168339.
18791,32,1864,3.762136e6
25699,32,7938,1.202484e6
25701,33,18202,1.174499e6
10989,34,5056,1.406193e6
10346,35,59,1.293282e6
46851,36,14448,151909.
734,36,9057,171900.
27680,36,17187,280566.
35173,37,18400,3.
35165,37,25,18163.
4768,37,18330,35774.
46645,38,16713,100153.
31860,38,16172,54508.
27315,38,10373,31624.
36409,39,15325,17889.
17252,40,298,174566.
4746,40,18397,79074.
26292,41,12515,1.237217e6
27560,42,16220,109720.
46763,42,16222,2692.
38363,43,5579,13834.
11212,43,9277,5.645167e6
4755,44,18400,296342.
39569,45,8881,348321.
31870,46,15410,193705.
13551,47,18304,59147.
39431,47,61,37066.
40675,48,7585,15428.
15836,48,7586,17949.
402,48,5387,1.093479e6
20712,49,9363,734595.
20745,49,9356,496195.
29717,50,5296,3787.
20594,50,9053,145956.
28391,51,4742,35193.
26603,51,1047,313207.
21280,52,14167,2.092339e6
16854,53,15729,105712.
41263,53,9179,34018.
40087,53,2661,54483.
47227,54,7320,15622.
28557,54,7690,663800.
44911,54,235,127092.
21065,55,6252,155306.
20410,55,16037,603960.
11823,56,9357,2.970573e6
7115,57,12858,636149.
20622,57,16733,134677.
4179,58,491,305604.
34851,58,84,25986.
11772,58,6719,132813.
10347,59,15293,4.541828e6
6352,60,1609,512039.
35949,60,15036,1.215531e6
13354,60,61,9950.
14935,61,3106,42867.
39433,61,60,9977.
40207,61,3734,10277.
13352,61,47,43436.
48211,62,11466,10709.
25064,62,9635,14517.
32941,63,9362,0.
48193,63,8693,17889.
20575,64,69,237786.
20580,64,9951,222338.
20573,65,90,253463.
20576,65,69,233669.
28383,67,18116,19291.
45825,67,9094,37036.
3508,68,148,17889.
43311,69,64,227878.
20577,69,65,243303.
6036,70,73,441202.
31186,71,655,1.3602933e7
22324,72,71,1.3603207e7
26622,73,3090,117279.
6037,73,11501,323649.
20717,74,9360,541654.
20718,74,9346,854550.
32430,75,2880,102895.
8815,76,16155,873685.
19183,77,33,41793.
26212,77,7938,37512.
20218,78,2640,215813.
42195,78,2631,72336.
43133,78,3375,306840.
13165,79,171,106468.
5385,80,7505,70772.
31907,80,9717,380006.
26536,81,6683,36324.
14229,81,6883,143339.
11903,82,832,988988.
8820,83,16173,90281.
31726,83,13326,525792.
4181,84,58,18502.
34839,84,19,8920.
33161,85,6009,855622.
791,85,5422,629117.
40089,85,17231,151047.
48535,86,16168,54462.
31340,86,16163,183818.
26040,86,16132,17955.
47955,87,2881,147988.
8660,87,4879,92816.
36729,88,12884,585171.
7303,88,16238,501175.
11902,89,82,460640.
11904,89,5645,1.043481e6
43309,90,65,244103.
20578,90,9796,269628.
18711,91,16792,35819.
16116,91,11451,43375.
16990,92,15657,17889.
20579,93,90,260542.
3465,93,9796,296931.
9573,94,6236,2.799399e6
16119,95,4795,190990.
22990,95,8694,710952.
40989,96,6028,110943.
13047,96,7293,27596.
39251,96,5559,353886.
27283,97,64,232520.
25642,97,9951,31566.
13682,98,14591,2.122941e6
45171,99,14038,122329.
24350,99,10214,14531.
1282,100,7485,1.816674e6
37211,101,16354,751747.
31941,101,15076,738186.
27435,102,142,17889.
31783,103,8569,4.643149e6
2230,104,11033,121471.
1485,105,13146,249350.
1473,105,110,15206.
33453,105,5246,1.
28741,106,762,170704.
6129,106,17044,401407.
5280,107,5040,71544.
41265,107,3969,18163.
35447,107,12183,36324.
37609,108,161,158056.
18574,108,8686,141199.
18717,109,533,353465.
33451,110,105,261710.
1481,110,119,30582.
13250,112,11464,284870.
13145,112,6407,87909.
28735,113,9337,59300.
22887,114,16123,4.641767e6
12208,114,17237,768204.
22774,115,1985,623331.
10913,115,142,3.
31216,116,13272,1.3605812e7
8356,117,7867,2.51122e6
26567,118,121,32601.
12098,118,762,333566.
1479,119,5249,81385.
33459,119,110,277360.
19481,120,5153,27079.
43993,120,2850,18286.
28743,121,122,59848.
28747,122,113,59574.
30092,123,17205,3.742538e6
13823,124,16270,149745.
27089,124,16295,152511.
29220,125,396,523788.
2439,125,4037,1.205647e6
27091,126,6994,273047.
3532,127,17682,17889.
9271,128,6160,1.673347e6
2233,129,132,523240.
7495,130,13759,142016.
42589,131,11342,168950.
20725,131,11238,255486.
2234,132,2579,836859.
3325,133,3330,34592.
48931,134,10111,84259.
25417,134,1487,111557.
32236,134,9031,22880.
3328,135,136,635640.
3329,136,137,613022.
29899,136,4722,22344.
3330,137,17552,693899.
12937,138,395,119511.
7499,139,4446,242375.
21365,139,14758,90785.
9515,140,1944,143347.
48001,140,7,2.
22773,141,115,587834.
46705,141,142,36322.
38207,142,115,35774.
27433,142,141,3.
46707,142,102,18163.
48237,143,10066,28124.
29483,143,8949,43467.
14166,144,414,1.967206e6
20631,145,2565,468131.
7642,145,6334,0.
19298,146,17528,17889.
17001,147,17609,1.664393e6
14263,147,10578,528614.
34485,148,68,18163.
3506,148,2305,53661.
34507,148,348,18163.
45749,149,10448,62037.
25428,149,17556,98394.
39619,150,13316,149385.
13639,150,13318,98131.
8510,152,17371,2.433231e6
8527,152,6319,26833.
20997,153,11229,108643.
32682,153,6335,276476.
26,154,188,260121.
19290,154,13228,514276.
22772,155,141,624427.
6211,157,16925,10468.
33851,157,158,25332.
35795,158,5324,42500.
2266,158,157,27900.
29562,159,9774,665744.
20909,160,18082,0.
43481,160,17755,1.524996e6
24596,160,748,1.500815e6
35525,161,176,175911.
9779,161,108,159324.
33305,162,6752,2.154131e6
7579,162,311,2.309033e6
906,163,10689,138727.
881,163,244,84210.
23889,164,11410,1.981014e6
18930,164,13996,1.1430624e7
49091,166,2141,154474.
22784,166,3206,3223.
24508,167,14605,1.530847e6
27732,167,119,325038.
