eid,source,target,EdgeBetweennessCentrality
35993,142,19027,140165.
89114,142,19031,107531.
66775,143,166,2.1694436e7
4536,144,1665,37517.
63400,145,34113,1.389926e6
75598,146,149,37517.
38437,147,6578,880794.
106010,147,13079,416611.
60552,148,6577,1.054734e6
95812,148,6578,151470.
69824,148,147,450282.
75600,149,152,1233.
77958,149,15449,38809.
9419,149,146,38809.
13734,149,9915,111312.
15322,150,15451,23.
78774,150,12666,30.
30376,150,15443,188863.
31132,151,30956,1.471524e6
102734,152,36832,78718.
75602,152,154,4.
63531,152,12556,112064.
9421,152,149,1230.
68293,153,19690,6.0074353e7
9423,154,152,4.
101932,154,36833,77074.
62120,154,5491,111085.
37846,155,213,2.1691852e7
78456,156,34098,595522.
14617,156,9939,519797.
102658,156,158,36078.
4500,157,29645,1.2197957e7
102660,158,160,56331.
45478,158,4330,31392.
63402,158,156,51347.
97982,158,3453,524.
39606,159,3008,40582.
40787,159,995,3.163022e6
91140,159,991,127132.
76182,160,16675,34207.
102662,160,163,416707.
63404,160,158,51052.
10561,160,2711,15816.
56582,162,151,1.472816e6
11471,163,2712,80.
63406,163,160,92419.
76690,163,7218,406404.
102664,163,164,680881.
97550,164,21425,680473.
63408,164,163,499596.
31129,165,182,116495.
31136,166,155,2.1693144e7
59523,167,30643,184312.
100406,167,19349,0.
100494,167,17821,189157.
59762,168,12558,2.728108e6
11317,169,20067,1.468258e6
90946,170,37176,293543.
90564,170,177,144804.
39245,170,22455,120620.
80990,171,3613,77925.
21246,171,25829,41289.
66730,172,186,2.4200052e7
22483,172,798,4.135691e6
66728,173,16126,2.6051222e7
59299,174,36696,1.540625e6
22497,174,165,117787.
60977,175,9326,416646.
66381,176,5531,35518.
101632,176,11935,3238.
104412,176,11383,11867.
105024,177,8721,38809.
38501,177,170,139680.
67791,177,15067,68752.
59763,178,168,2.7294e6
24780,179,35445,37517.
35261,180,18944,1.591818e6
88688,180,18947,139839.
58801,181,31994,1.417536e6
47163,181,31531,38750.
31139,182,143,115203.
7411,183,31232,126737.
50006,183,37199,3.45365e6
68703,184,24832,126875.
105454,184,8340,198347.
68074,185,23232,44468.
15589,185,928,15872.
22494,186,36696,2.615651e6
66731,186,193,2.1583109e7
93854,187,27449,26522.
11225,187,37331,197729.
49596,187,12041,137910.
21573,188,5780,865.
92460,188,17373,38446.
43276,189,37684,2.050596e6
92776,189,35541,1.480059e6
48879,189,35542,178558.
100246,190,19274,73255.
28178,190,31694,3255.
68831,191,1227,593163.
57428,192,32747,1716.
