eid,source,target,EdgeBetweennessCentrality
24238,167,170,384211.
9864,167,155,1452.
9910,168,10877,41292.
24296,168,278,20992.
24698,170,6488,384145.
9866,170,167,1560.
26418,172,9082,10497.
25338,172,1620,257525.
14189,172,2222,240925.
20996,173,5389,185544.
10877,173,7295,178177.
1944,174,2336,5165.
24928,174,897,87416.
19962,175,5636,18088.
12636,175,4614,30578.
27502,176,1539,792396.
16165,176,445,813703.
7990,176,247,10497.
20888,177,1784,30936.
3821,177,5922,11.
3580,177,5668,20970.
117,179,180,18496.
13843,179,181,187885.
11185,180,9758,226317.
13844,181,6433,190035.
11184,182,180,207993.
116,182,181,2322.
15668,183,1425,780015.
7960,183,2342,73437.
22954,184,2056,30969.
15066,184,9411,20992.
2732,185,9290,15.
2760,185,9293,61920.
7992,186,1539,10325.
22658,187,6968,41890.
921,187,5054,18831.
2731,188,185,62107.
28190,189,1257,1.347226e6
118,189,6645,1.416123e6
9247,190,3657,69675.
23932,190,195,3285.
10509,191,5738,276100.
7487,191,5639,54465.
2735,192,188,62279.
9943,193,1758,3.607872e6
16593,194,7082,102702.
22218,194,197,48111.
13991,195,2787,23050.
9249,195,190,64100.
23070,196,5951,36605.
5873,197,194,111390.
24916,197,198,56703.
24918,198,9019,65345.
11170,198,197,120154.
2967,199,207,3.178717e6
9141,200,1814,78302.
18734,201,9786,7903.
26450,201,212,395874.
15444,202,4472,113465.
21148,202,7906,19.
26328,203,2786,88515.
26448,203,9786,393729.
13997,203,5942,378149.
7996,204,222,10325.
16463,205,234,10497.
16642,205,10803,20646.
27660,205,261,0.
20738,206,10915,838641.
10314,206,415,865629.
2968,207,2971,2.829312e6
11587,207,7159,349233.
9941,208,12,1.192875e6
25570,209,4353,47419.
13882,209,2886,45038.
9936,210,7951,8.354109e6
26090,211,312,237800.
12907,211,8899,145402.
14245,212,201,9357.
14241,212,1450,438322.
26452,212,3209,839.
6235,213,7207,515545.
267,214,218,41288.
19574,214,215,31485.
19244,215,7091,20992.
817,215,214,30969.
7040,216,4596,2.133111e6
18725,217,1542,69698.
